AcceptedNameGBIF;OriginalNameDB;ID_GBIF;Kingdom;Order;Family;Phylum;Class;EstablishmentMeans;Pathways;FunctionalGroup;Group;NativeCountry;InvadedCountry;InvadedCountryISO3;AffectedNativeSpecies;EICATImpact;Mechanisms;EICAT_by_Mechanism;Habitat;FirstRecords;OldestDate;Source_Data
Lygodium japonicum;Lygodium japonicum;2650436;Plantae;NA;Lygodiaceae;pteridophyta;filicopsida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lysichiton americanus;Lysichiton americanus;2869311;Plantae;alismatales;Araceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lythrum maritimum;Lythrum maritimum;3188746;Plantae;myrtales;Lythraceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lythrum salicaria;Lythrum salicaria;3188736;Plantae;myrtales;Lythraceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Macaca mulatta;Macaca mulatta;2436604;Metazoa;primates;Cercopithecidae;chordata;mammalia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Marisa cornuarietis;Marisa cornuarietis;2292586;Metazoa;NA;Ampullariidae;mollusca;gastropoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Melanoides tuberculata;Melanoides tuberculata;4362965;Metazoa;NA;Thiaridae;mollusca;gastropoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Micropterus dolomieu;Micropterus dolomieu;5211250;Metazoa;perciformes;Centrarchidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Micropterus salmoides;Micropterus salmoides;2394563;Metazoa;perciformes;Centrarchidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Mikania scandens;Mikania scandens;5398828;Plantae;asterales;Asteraceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Misgurnus anguillicaudatus;Misgurnus anguillicaudatus;2367919;Metazoa;cypriniformes;Cobitidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pontederia hastata;Monochoria hastata;2765991;Plantae;commelinales;Pontederiaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Morone americana;Morone americana;2394604;Metazoa;perciformes;Moronidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Mylopharyngodon piceus;Mylopharyngodon piceus;2362110;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Myocastor coypus;Myocastor coypus;4264680;Metazoa;rodentia;Myocastoridae;chordata;mammalia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Myriophyllum aquaticum;Myriophyllum aquaticum;5361785;Plantae;saxifragales;Haloragaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Myriophyllum heterophyllum;Myriophyllum heterophyllum;5361762;Plantae;saxifragales;Haloragaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Myriophyllum spicatum;Myriophyllum spicatum;5361760;Plantae;saxifragales;Haloragaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Mytilopsis sallei;Mytilopsis sallei;5189109;Metazoa;veneroida;Dreissenidae;mollusca;bivalvia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Nasturtium microphyllum;Nasturtium microphyllum;9184619;Plantae;brassicales;Brassicaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
